2024-10-13 17:05:57,615 - 가상 파일 크기 정보 생성 시작...
2024-10-13 17:05:57,617 - 총 10000개의 가상 파일 크기 정보 생성 완료!
2024-10-13 17:05:57,617 - Data Server가 0.0.0.0:5000에서 실행 중입니다...
2024-10-13 17:05:57,617 - 캐시 서버와 연결 중...
2024-10-13 17:06:03,306 - 캐시 서버 1 연결 완료: ('175.199.62.28', 61411)
2024-10-13 17:06:03,309 - 연결된 ('175.199.62.28', 61411)로부터 파일 요청 처리 시작
2024-10-13 17:06:05,569 - 캐시 서버 2 연결 완료: ('175.199.62.28', 61423)
2024-10-13 17:06:05,572 - 연결된 ('175.199.62.28', 61423)로부터 파일 요청 처리 시작
2024-10-13 17:06:05,573 - 클라이언트 연결 대기 중...
2024-10-13 17:06:08,631 - 클라이언트 연결 완료: ('175.199.62.28', 61439)
2024-10-13 17:06:08,631 - ('175.199.62.28', 61412, <socket.socket fd=5, family=2, type=1, proto=0, laddr=('10.128.0.3', 5000), raddr=('175.199.62.28', 61411)>)
2024-10-13 17:06:08,631 - ('175.199.62.28', 61424, <socket.socket fd=6, family=2, type=1, proto=0, laddr=('10.128.0.3', 5000), raddr=('175.199.62.28', 61423)>)
2024-10-13 17:06:10,436 - 클라이언트 연결 완료: ('175.199.62.28', 61454)
2024-10-13 17:06:10,436 - ('175.199.62.28', 61412, <socket.socket fd=5, family=2, type=1, proto=0, laddr=('10.128.0.3', 5000), raddr=('175.199.62.28', 61411)>)
2024-10-13 17:06:10,436 - ('175.199.62.28', 61424, <socket.socket fd=6, family=2, type=1, proto=0, laddr=('10.128.0.3', 5000), raddr=('175.199.62.28', 61423)>)
2024-10-13 17:06:11,640 - 클라이언트 연결 완료: ('175.199.62.28', 61468)
2024-10-13 17:06:11,641 - ('175.199.62.28', 61412, <socket.socket fd=5, family=2, type=1, proto=0, laddr=('10.128.0.3', 5000), raddr=('175.199.62.28', 61411)>)
2024-10-13 17:06:11,641 - ('175.199.62.28', 61424, <socket.socket fd=6, family=2, type=1, proto=0, laddr=('10.128.0.3', 5000), raddr=('175.199.62.28', 61423)>)
2024-10-13 17:06:14,672 - 클라이언트 연결 완료: ('175.199.62.28', 61482)
2024-10-13 17:06:14,673 - ('175.199.62.28', 61412, <socket.socket fd=5, family=2, type=1, proto=0, laddr=('10.128.0.3', 5000), raddr=('175.199.62.28', 61411)>)
2024-10-13 17:06:14,673 - ('175.199.62.28', 61424, <socket.socket fd=6, family=2, type=1, proto=0, laddr=('10.128.0.3', 5000), raddr=('175.199.62.28', 61423)>)
2024-10-13 17:06:14,673 - 모든 클라이언트가 연결됨. 파일 전송 시작.
2024-10-13 17:06:14,674 - 연결된 ('175.199.62.28', 61439)로부터 파일 요청 처리 시작
2024-10-13 17:06:14,675 - 연결된 ('175.199.62.28', 61454)로부터 파일 요청 처리 시작
2024-10-13 17:06:14,675 - 연결된 ('175.199.62.28', 61468)로부터 파일 요청 처리 시작
2024-10-13 17:06:14,676 - 연결된 ('175.199.62.28', 61482)로부터 파일 요청 처리 시작
2024-10-13 17:06:14,835 - 파일 전송 시작: 파일 번호 2, 크기 2 KB, 예상 소요 시간 0.00초
2024-10-13 17:06:14,835 - 파일 전송 완료: 파일 번호 2, 크기 2 KB, 실제 소요 시간 0.00초
2024-10-13 17:06:14,836 - 파일 전송 시작: 파일 번호 6, 크기 6 KB, 예상 소요 시간 0.00초
2024-10-13 17:06:14,836 - 파일 전송 완료: 파일 번호 6, 크기 6 KB, 실제 소요 시간 0.00초
2024-10-13 17:06:14,836 - 파일 전송 시작: 파일 번호 13, 크기 13 KB, 예상 소요 시간 0.01초
2024-10-13 17:06:14,836 - 파일 전송 완료: 파일 번호 13, 크기 13 KB, 실제 소요 시간 0.01초
2024-10-13 17:06:14,836 - 파일 전송 시작: 파일 번호 14, 크기 14 KB, 예상 소요 시간 0.01초
2024-10-13 17:06:14,836 - 파일 전송 완료: 파일 번호 14, 크기 14 KB, 실제 소요 시간 0.01초
2024-10-13 17:06:14,836 - 파일 전송 시작: 파일 번호 19, 크기 19 KB, 예상 소요 시간 0.01초
2024-10-13 17:06:14,837 - 파일 전송 완료: 파일 번호 19, 크기 19 KB, 실제 소요 시간 0.01초
2024-10-13 17:06:14,837 - 파일 전송 시작: 파일 번호 23, 크기 23 KB, 예상 소요 시간 0.01초
2024-10-13 17:06:14,837 - 파일 전송 완료: 파일 번호 23, 크기 23 KB, 실제 소요 시간 0.01초
2024-10-13 17:06:14,837 - 파일 전송 시작: 파일 번호 28, 크기 28 KB, 예상 소요 시간 0.01초
2024-10-13 17:06:14,837 - 파일 전송 완료: 파일 번호 28, 크기 28 KB, 실제 소요 시간 0.01초
2024-10-13 17:06:14,837 - 파일 전송 시작: 파일 번호 30, 크기 30 KB, 예상 소요 시간 0.01초
2024-10-13 17:06:14,837 - 파일 전송 완료: 파일 번호 30, 크기 30 KB, 실제 소요 시간 0.01초
2024-10-13 17:06:14,838 - 파일 전송 시작: 파일 번호 32, 크기 32 KB, 예상 소요 시간 0.02초
2024-10-13 17:06:14,838 - 파일 전송 완료: 파일 번호 32, 크기 32 KB, 실제 소요 시간 0.02초
2024-10-13 17:06:14,838 - 파일 전송 시작: 파일 번호 33, 크기 33 KB, 예상 소요 시간 0.02초
2024-10-13 17:06:14,838 - 파일 전송 완료: 파일 번호 33, 크기 33 KB, 실제 소요 시간 0.02초
2024-10-13 17:06:14,838 - 파일 전송 시작: 파일 번호 40, 크기 40 KB, 예상 소요 시간 0.02초
2024-10-13 17:06:14,838 - 파일 전송 완료: 파일 번호 40, 크기 40 KB, 실제 소요 시간 0.02초
2024-10-13 17:06:14,838 - 파일 전송 시작: 파일 번호 41, 크기 41 KB, 예상 소요 시간 0.02초
2024-10-13 17:06:14,839 - 파일 전송 완료: 파일 번호 41, 크기 41 KB, 실제 소요 시간 0.02초
2024-10-13 17:06:14,839 - 파일 전송 시작: 파일 번호 49, 크기 49 KB, 예상 소요 시간 0.02초
2024-10-13 17:06:14,839 - 파일 전송 완료: 파일 번호 49, 크기 49 KB, 실제 소요 시간 0.02초
2024-10-13 17:06:14,839 - 파일 전송 시작: 파일 번호 55, 크기 55 KB, 예상 소요 시간 0.03초
2024-10-13 17:06:14,839 - 파일 전송 완료: 파일 번호 55, 크기 55 KB, 실제 소요 시간 0.03초
2024-10-13 17:06:14,839 - 파일 전송 시작: 파일 번호 59, 크기 59 KB, 예상 소요 시간 0.03초
2024-10-13 17:06:14,839 - 파일 전송 완료: 파일 번호 59, 크기 59 KB, 실제 소요 시간 0.03초
2024-10-13 17:06:14,839 - 파일 전송 시작: 파일 번호 63, 크기 63 KB, 예상 소요 시간 0.03초
2024-10-13 17:06:14,839 - 파일 전송 완료: 파일 번호 63, 크기 63 KB, 실제 소요 시간 0.03초
2024-10-13 17:06:14,840 - 파일 전송 시작: 파일 번호 64, 크기 64 KB, 예상 소요 시간 0.03초
2024-10-13 17:06:14,840 - 파일 전송 완료: 파일 번호 64, 크기 64 KB, 실제 소요 시간 0.03초
2024-10-13 17:06:14,840 - 파일 전송 시작: 파일 번호 65, 크기 65 KB, 예상 소요 시간 0.03초
2024-10-13 17:06:14,840 - 파일 전송 완료: 파일 번호 65, 크기 65 KB, 실제 소요 시간 0.03초
2024-10-13 17:06:14,840 - 파일 전송 시작: 파일 번호 68, 크기 68 KB, 예상 소요 시간 0.03초
2024-10-13 17:06:14,840 - 파일 전송 완료: 파일 번호 68, 크기 68 KB, 실제 소요 시간 0.03초
2024-10-13 17:06:14,840 - 파일 전송 시작: 파일 번호 69, 크기 69 KB, 예상 소요 시간 0.03초
2024-10-13 17:06:14,840 - 파일 전송 완료: 파일 번호 69, 크기 69 KB, 실제 소요 시간 0.03초
2024-10-13 17:06:14,841 - 파일 전송 시작: 파일 번호 70, 크기 70 KB, 예상 소요 시간 0.04초
2024-10-13 17:06:14,841 - 파일 전송 완료: 파일 번호 70, 크기 70 KB, 실제 소요 시간 0.04초
2024-10-13 17:06:14,841 - 파일 전송 시작: 파일 번호 71, 크기 71 KB, 예상 소요 시간 0.04초
2024-10-13 17:06:14,841 - 파일 전송 완료: 파일 번호 71, 크기 71 KB, 실제 소요 시간 0.04초
2024-10-13 17:06:14,841 - 파일 전송 시작: 파일 번호 77, 크기 77 KB, 예상 소요 시간 0.04초
2024-10-13 17:06:15,142 - 파일 전송 완료: 파일 번호 77, 크기 77 KB, 실제 소요 시간 0.04초
2024-10-13 17:06:15,142 - 파일 전송 시작: 파일 번호 80, 크기 80 KB, 예상 소요 시간 0.04초
2024-10-13 17:06:15,142 - 파일 전송 완료: 파일 번호 80, 크기 80 KB, 실제 소요 시간 0.04초
2024-10-13 17:06:15,142 - 파일 전송 시작: 파일 번호 82, 크기 82 KB, 예상 소요 시간 0.04초
2024-10-13 17:06:15,143 - 파일 전송 완료: 파일 번호 82, 크기 82 KB, 실제 소요 시간 0.04초
2024-10-13 17:06:15,143 - 파일 전송 시작: 파일 번호 85, 크기 85 KB, 예상 소요 시간 0.04초
2024-10-13 17:06:15,143 - 파일 전송 완료: 파일 번호 85, 크기 85 KB, 실제 소요 시간 0.04초
2024-10-13 17:06:15,143 - 파일 전송 시작: 파일 번호 87, 크기 87 KB, 예상 소요 시간 0.04초
2024-10-13 17:06:15,143 - 파일 전송 완료: 파일 번호 87, 크기 87 KB, 실제 소요 시간 0.04초
2024-10-13 17:06:15,144 - 파일 전송 시작: 파일 번호 89, 크기 89 KB, 예상 소요 시간 0.04초
2024-10-13 17:06:15,144 - 파일 전송 완료: 파일 번호 89, 크기 89 KB, 실제 소요 시간 0.04초
2024-10-13 17:06:15,144 - 파일 전송 시작: 파일 번호 97, 크기 97 KB, 예상 소요 시간 0.05초
2024-10-13 17:06:15,144 - 파일 전송 완료: 파일 번호 97, 크기 97 KB, 실제 소요 시간 0.05초
2024-10-13 17:06:15,144 - 파일 전송 시작: 파일 번호 99, 크기 99 KB, 예상 소요 시간 0.05초
2024-10-13 17:06:15,144 - 파일 전송 완료: 파일 번호 99, 크기 99 KB, 실제 소요 시간 0.05초
2024-10-13 17:06:15,144 - 파일 전송 시작: 파일 번호 100, 크기 100 KB, 예상 소요 시간 0.05초
2024-10-13 17:06:15,144 - 파일 전송 완료: 파일 번호 100, 크기 100 KB, 실제 소요 시간 0.05초
2024-10-13 17:06:15,145 - 파일 전송 시작: 파일 번호 101, 크기 101 KB, 예상 소요 시간 0.05초
2024-10-13 17:06:15,145 - 파일 전송 완료: 파일 번호 101, 크기 101 KB, 실제 소요 시간 0.05초
2024-10-13 17:06:15,145 - 파일 전송 시작: 파일 번호 102, 크기 102 KB, 예상 소요 시간 0.05초
2024-10-13 17:06:15,145 - 파일 전송 완료: 파일 번호 102, 크기 102 KB, 실제 소요 시간 0.05초
2024-10-13 17:06:15,145 - 파일 전송 시작: 파일 번호 108, 크기 108 KB, 예상 소요 시간 0.05초
2024-10-13 17:06:15,151 - 파일 전송 완료: 파일 번호 108, 크기 108 KB, 실제 소요 시간 0.05초
2024-10-13 17:06:15,151 - 파일 전송 시작: 파일 번호 110, 크기 110 KB, 예상 소요 시간 0.06초
2024-10-13 17:06:15,151 - 파일 전송 완료: 파일 번호 110, 크기 110 KB, 실제 소요 시간 0.06초
2024-10-13 17:06:15,151 - 파일 전송 시작: 파일 번호 111, 크기 111 KB, 예상 소요 시간 0.06초
2024-10-13 17:06:15,151 - 파일 전송 완료: 파일 번호 111, 크기 111 KB, 실제 소요 시간 0.06초
2024-10-13 17:06:15,151 - 파일 전송 시작: 파일 번호 115, 크기 115 KB, 예상 소요 시간 0.06초
2024-10-13 17:06:15,152 - 파일 전송 완료: 파일 번호 115, 크기 115 KB, 실제 소요 시간 0.06초
2024-10-13 17:06:15,152 - 파일 전송 시작: 파일 번호 118, 크기 118 KB, 예상 소요 시간 0.06초
2024-10-13 17:06:15,152 - 파일 전송 완료: 파일 번호 118, 크기 118 KB, 실제 소요 시간 0.06초
2024-10-13 17:06:15,152 - 파일 전송 시작: 파일 번호 120, 크기 120 KB, 예상 소요 시간 0.06초
2024-10-13 17:06:15,152 - 파일 전송 완료: 파일 번호 120, 크기 120 KB, 실제 소요 시간 0.06초
2024-10-13 17:06:15,152 - 파일 전송 시작: 파일 번호 122, 크기 122 KB, 예상 소요 시간 0.06초
2024-10-13 17:06:15,152 - 파일 전송 완료: 파일 번호 122, 크기 122 KB, 실제 소요 시간 0.06초
2024-10-13 17:06:15,152 - 파일 전송 시작: 파일 번호 129, 크기 129 KB, 예상 소요 시간 0.06초
2024-10-13 17:06:15,295 - 파일 전송 완료: 파일 번호 129, 크기 129 KB, 실제 소요 시간 0.06초
2024-10-13 17:06:15,295 - 파일 전송 시작: 파일 번호 130, 크기 130 KB, 예상 소요 시간 0.07초
2024-10-13 17:06:15,296 - 파일 전송 완료: 파일 번호 130, 크기 130 KB, 실제 소요 시간 0.07초
2024-10-13 17:06:15,296 - 파일 전송 시작: 파일 번호 134, 크기 134 KB, 예상 소요 시간 0.07초
2024-10-13 17:06:15,296 - 파일 전송 완료: 파일 번호 134, 크기 134 KB, 실제 소요 시간 0.07초
2024-10-13 17:06:15,296 - 파일 전송 시작: 파일 번호 138, 크기 138 KB, 예상 소요 시간 0.07초
2024-10-13 17:06:15,307 - 파일 전송 완료: 파일 번호 138, 크기 138 KB, 실제 소요 시간 0.07초
2024-10-13 17:06:15,307 - 파일 전송 시작: 파일 번호 141, 크기 141 KB, 예상 소요 시간 0.07초
2024-10-13 17:06:15,307 - 파일 전송 완료: 파일 번호 141, 크기 141 KB, 실제 소요 시간 0.07초
2024-10-13 17:06:15,308 - 파일 전송 시작: 파일 번호 147, 크기 147 KB, 예상 소요 시간 0.07초
2024-10-13 17:06:15,308 - 파일 전송 완료: 파일 번호 147, 크기 147 KB, 실제 소요 시간 0.07초
2024-10-13 17:06:15,308 - 파일 전송 시작: 파일 번호 148, 크기 148 KB, 예상 소요 시간 0.07초
2024-10-13 17:06:15,308 - 파일 전송 완료: 파일 번호 148, 크기 148 KB, 실제 소요 시간 0.07초
2024-10-13 17:06:15,308 - 파일 전송 시작: 파일 번호 151, 크기 151 KB, 예상 소요 시간 0.08초
2024-10-13 17:06:15,308 - 파일 전송 완료: 파일 번호 151, 크기 151 KB, 실제 소요 시간 0.08초
2024-10-13 17:06:15,308 - 파일 전송 시작: 파일 번호 154, 크기 154 KB, 예상 소요 시간 0.08초
2024-10-13 17:06:15,309 - 파일 전송 완료: 파일 번호 154, 크기 154 KB, 실제 소요 시간 0.08초
2024-10-13 17:06:15,309 - 파일 전송 시작: 파일 번호 155, 크기 155 KB, 예상 소요 시간 0.08초
2024-10-13 17:06:15,309 - 파일 전송 완료: 파일 번호 155, 크기 155 KB, 실제 소요 시간 0.08초
2024-10-13 17:06:15,309 - 파일 전송 시작: 파일 번호 158, 크기 158 KB, 예상 소요 시간 0.08초
2024-10-13 17:06:15,309 - 파일 전송 완료: 파일 번호 158, 크기 158 KB, 실제 소요 시간 0.08초
2024-10-13 17:06:15,309 - 파일 전송 시작: 파일 번호 159, 크기 159 KB, 예상 소요 시간 0.08초
2024-10-13 17:06:15,309 - 파일 전송 완료: 파일 번호 159, 크기 159 KB, 실제 소요 시간 0.08초
2024-10-13 17:06:15,310 - 파일 전송 시작: 파일 번호 164, 크기 164 KB, 예상 소요 시간 0.08초
2024-10-13 17:06:15,310 - 파일 전송 완료: 파일 번호 164, 크기 164 KB, 실제 소요 시간 0.08초
2024-10-13 17:06:15,310 - 파일 전송 시작: 파일 번호 166, 크기 166 KB, 예상 소요 시간 0.08초
2024-10-13 17:06:15,310 - 파일 전송 완료: 파일 번호 166, 크기 166 KB, 실제 소요 시간 0.08초
2024-10-13 17:06:15,310 - 파일 전송 시작: 파일 번호 167, 크기 167 KB, 예상 소요 시간 0.08초
2024-10-13 17:06:15,310 - 파일 전송 완료: 파일 번호 167, 크기 167 KB, 실제 소요 시간 0.08초
2024-10-13 17:06:15,310 - 파일 전송 시작: 파일 번호 168, 크기 168 KB, 예상 소요 시간 0.08초
2024-10-13 17:06:15,460 - 파일 전송 완료: 파일 번호 168, 크기 168 KB, 실제 소요 시간 0.08초
2024-10-13 17:06:15,460 - 파일 전송 시작: 파일 번호 170, 크기 170 KB, 예상 소요 시간 0.09초
